Genome Name,CheA
"Active sludge microbial communities from wastewater in Klosterneuburg, Austria - Klosterneuburg WWTP active sludge C30_HANv2",5
"Hot spring microbial communities from Yellowstone National Park, Wyoming, USA - YNP18  Washburn Springs #1",4
Freshwater sediment methanotrophic microbial communities from Lake Washington under simulated oxygen tension - Sediment Metatranscriptome 87_LOW11,59
"Permafrost microbial communities from permafrost in Bonanza Creek, Alaska - Permafrost Layer P1 (P1_CLC_pe)",36
"Tropical forest soil microbial communities from Luquillo Experimental Forest, Puerto Rico - Sample 68 (Luquillo Experimental Forest Soil Metagenome 68, ASSEMBLY_DATE=20121207)",10
"Grasslands soil microbial communities from Gorham, Kansas, USA that are Nitrogen fertilized - NN611 (Forest Soil microbial communities with Nitrogen NN611, ASSEMBLY_DATE=20130213)",873
Aqueous microbial communities from the Delaware River and Bay under freshwater to marine salinity gradient to study organic matter cycling in a time-series - DEBay_Sum_29_N_<0.8_RNA1 (Metagenome Metatranscriptome),85
"Aerobic enrichment media from Bioluminiscent Bay, La Parguera, Puerto Rico - Tt and P1 (4) (Tt an P1 anaerobic enrichment on pine from sediment taken from Thalassia testudinum beds off the Bioluminescent Bay near La Parguera, PR, ASSEMBLY_DATE=20130102)",260
"Hypersaline microbial mat communities from Yellowstone National Park, Wyoming, USA - Grendel (GRN_C) (Metagenome Metatranscriptome)",4
"Forest soil microbial communities from Thunder Bay, Ontario, Canada - Black Spruce, Ontario site 2_A8_OM2_O1 (Black Spruce, Ontario site 2_A8_OM2_O1, ASSEMBLY_DATE=20130306)",5800
"Human tongue dorsum microbial communities from NIH, USA - visit 2, subject 764042746",6
"Macroalgal surface ecosystem from Botany Bay, Sydney, Australia - BBAY73",112
Estuarine microbial communities from the Columbia River estuary - metaG 1449B-02,172
Marine microbial communities from the Southern Atlantic ocean transect to study dissolved organic matter and carbon cycling - KN S7 NT10 metaT (Metagenome Metatranscriptome),68
"Soil and Ice psychrophilic microbial communities from Leh Laddakh, India - psychrophilic sample",3
"Rhizosphere microbial communities from Harvard Forest, USA - 4Rhizosphere_NRpos metaG",23
Tropical forest soil microbial communities from Panama analyzed to predict greenhouse gas emissions - Panama Soil Plot 36 MoBio,3896
"Soil microbial communities from bioreactor at Alameda Naval Air Station, CA, contaminated with Chloroethene -196 (Jan 2009 assem)",21
"Human palatine tonsils microbial communities from NIH, USA - visit 2, subject 763577454",2
"Marine microbial communities from expanding oxygen minimum zones in Line P, North Pacific Ocean -  August 2008 P20 500m (Line P August 2008 P20 500m, March 2012 Assem)",5
"Marine gutless worms symbiont microbial communities from Max Planck institute for Marine Microbiology, Germany - Inanidrilus leukodermatus Group 2 BELIZE.2",15
Nitrosomonas DOME D20B70,6
"Freshwater microbial communities from Trout Bog Lake, WI - 12MAY2008 hypolimnion (Trout Bog Lake May 29 2008 Hypolimnion, new10pct subsample IHSB Merged Reads)",137
"Soil microbial communities from Manhattan, Kansas, USA - Sample 200um emPCR (Kansas soil 200um emPCR, ASSEMBLY_DATE=20131206)",9
Marine viral communities from the Subarctic Pacific Ocean - 5B_ETSP_OMZ_AT15132_CsCl metaG,90
Active sludge microbial communities of municipal wastewater-treating anaerobic digesters from Japan - AD_JPNHW2_MetaG,2967
Freshwater sediment methanotrophic microbial communities from Lake Washington under simulated oxygen tension - Sediment Metatranscriptome 46_HOW7,71
"Grasslands soil microbial communities from the Angelo Coastal Reserve, California, USA - Sample 09_27_2013_1_20cm (Grasslands soil microbial communities from the Angelo Coastal Reserve, California, USA - Sample 09_27_2013_1_20cm, ASSEMBLY_DATE=20140531)",10495
"Peatland microbial communities from Minnesota, USA, analyzing carbon cycling and trace gas fluxes - June2015DPH_4_10",2337
Freshwater sediment methanotrophic microbial communities from Lake Washington under simulated oxygen tension - Sediment Metatranscriptome 38_LOW7,93
"Grasslands soil microbial communities from Gorham, Kansas, USA that are Nitrogen fertilized -NN607 (Forest Soil microbial communities with Nitrogen NN607, ASSEMBLY_DATE=20130213)",1830
"Anoxygenic and chlorotrophic microbial mat microbial communities from Yellowstone National Park, USA - YNP MS_0600_B MetaT (Metagenome Metatranscriptome)",122
"Extremophilic microbial mat communities from Yellowstone National Park, USA - OSPB_Mat_virus_9_15",59
Laurentian Great Lakes metaT Fa13.BD.MM15.SN (Metagenome Metatranscriptome),261
"Digestive system ecosystem from Max Planck institute for Marine Microbiology, Germany - Inanidrilus makropetalos BAHAMAS.2",26
"Freshwater microbial communities from Crystal Bog, Wisconsin, USA -  CBH11Jul08",871
"Human tongue dorsum microbial communities from NIH, USA - visit 2, subject 159814214",28
"Hot spring microbial communities from Yellowstone National Park, Wyoming, USA - YNP7  Chocolate Pots",11
Enrichment culture microbial communities from Rutgers university that are MTBE-degrading - MTBE-AKM (Arthur Kill Methanogenic) MetaG,429
Combined assembly of arab plate scrape CL_Cvi (Combined Assembly),918
"Marine microbial communities from the Deep Atlantic Ocean - MP2914 (Deep seawater metagenome MP2914, ASSEMBLY_DATE=20130626)",550
"Marine microbial communities from Colon, Panama - GS019",4
Tailings pond microbial communities from Northern Alberta -TP6_2008_2010:,271
"Marine microbial communities from expanding oxygen minimum zones in the Saanich Inlet -  ESP_161SG_22_DNA (Saanich Inlet ESP161SG22DNA, ASSEMBLY_DATE=20140830)",919
"Hypersaline anoxic lake microbial communities from Lake Thetis, Australia",1
"Marine microbial communities from expanding oxygen minimum zones in the Saanich Inlet -  SI037_S3LV_150m_DNA (Marine microbial communities from expanding oxygen minimum zones in the Saanich Inlet -  SI037_S3LV_150m_DNA, ASSEMBLY_DATE=20140926)",1257
"Freshwater microbial communities from Lake Mendota, WI - 30JUL2009 deep hole epilimnion (Lake Mendota Deep Hole Epilimnion 30Jul09, ASSEMBLY_DATE=20140125)",697
"Freshwater microbial communities from Trout Bog Lake, WI - 18AUG2009 hypolimnion (Trout Bog Lake August 18 2009 Hypolimnion, new10pct subsample IHUF Merged Reads)",312
"Tropical forest soil microbial communities from Luquillo Experimental Forest, Puerto Rico - Sample 39 (Luquillo Experimental Forest Soil Metagenome 39, ASSEMBLY_DATE=20121207)",14
"Human tongue dorsum microbial communities from NIH, USA - visit 1, subject 160319967",16
Freshwater sediment methanotrophic microbial communities from Lake Washington under simulated oxygen tension - Sediment Metatranscriptome 62_LOW9,108
"Wastewater microbial communities from Syncrude, Ft. McMurray, Alberta - Microbes from Sediment core from a heavy oil reservoir,Alberta Canada  Inniskillen 614.3 (Inniskillen 614.3: 454+illumina sequencing assembly)",19
Passalidae beetle gut microbial communities from Costa Rica -Larvae (5ML+5BL) (Larvae (5ML+5BL) Oct 2011 assem - Assem Ctgs),11
Marine sediment microbial communities from deep subseafloor - Sample from 5.1 mbsf,7
"Forest soil microbial communities from Harvard Forest Long Term Ecological Research site in Petersham, Massachusetts, USA - MetaT HF236 (Metagenome Metatranscriptome)",127
Thiomargarita nelsonii Hydrate Ridge bud S10 & epibionts metagenome,14
"Human subgingival plaque microbial communities from NIH, USA - visit 1, subject 763496533",22
Marine microbial communities from the Southern Atlantic ocean - KN S19 Bottom_A metaT (Metagenome Metatranscriptome),16
"Human subgingival plaque microbial communities from NIH, USA - visit 1, subject 763577454",26
"Soil microbial communities from Arlington Agricultural Research Station in Wisconsin, USA - Nitrogen cycling UWRJ-G05.2A5-11 (Soil microbial communities from Arlington Agricultural Research Station in Wisconsin, USA - Nitrogen cycling UWRJ-G05.2A5-11, ASSEMBLY_DATE=20140821)",2364
"Grasslands soil microbial communities from Kansas, USA, that are Nitrogen fertilized - NN589 (Forest Soil microbial communities with Nitrogen NN589, ASSEMBLY_DATE=20130213)",937
Marine microbial communities from the Southern Atlantic ocean - KN S17 O2min_A metaT (Metagenome Metatranscriptome),2
Nitrospira DOME C09B39,4
Marine microbial communities from the Southern Atlantic ocean - KN S14 DCM1_B metaT (Metagenome Metatranscriptome),9
"Permafrost microbial communities from permafrost in Bonanza Creek, Alaska - Permafrost Layer P1 (MG-P1-I)",5332
"Soil microbial communities from Arlington Agricultural Research Station in Wisconsin, USA - Nitrogen cycling UWRJ-HINK07-A (Nitrogen cycling UWRJHINK07A, ASSEMBLY_DATE=20140514)",1573
"Freshwater lentic microbial communities from great Laurentian Lakes, MI, USA - Great Lakes metaG ON33MSRF",522
"Human stool microbial communities from NIH, USA - visit 1, subject 246515023",17
Oceanic oxygen minimum zone microbial communities that regulate carbon cycling - Sample ETNP201306SV43,328
"Groundwater microbial communities from the Columbia River, Washington, USA, for microbe roles in carbon and contaminant biogeochemistry - GW-RW metaG T3_25-Nov-14",850
"Upper troposphere microbial communities -  DC3-106 (Upper troposphere microbial communities -  DC3-106, ASSEMBLY_DATE=20140821)",187
"Active sludge microbial communities from Klosterneuburg, Austria - Klosterneuburg WWTP active sludge D91_LN",1
"Rhizosphere microbial communities from Harvard Forest, USA - 6Rhizosphere_unsorted metaG",90
"Human anterior nares microbial communities from NIH, USA - visit 2, subject 158499257",1
"Dendroctonus frontalis bacterial communities from Mississippi, USA",25
"Freshwater microbial communities from Crystal Bog, Wisconsin, USA -  CBE18Aug09",242
"Grasslands soil microbial communities from the Angelo Coastal Reserve, California, USA - 15_R_Met_20_2_4_2 metaT (Metagenome Metatranscriptome)",6
"Forest soil microbial communities from Algoma, Ontario, Canada - Jack Pine, Ontario site 1_JW_OM1H0_M3 (Jack Pine, Ontario site 1_JW_OM1H0_M3, ASSEMBLY_DATE=20130311)",5735
"Termite gut P3 segment microbial communities from Max Planck Institute, Germany - Nt197 P3",3422
"Marine microbial communities from expanding oxygen minimum zones in the Saanich Inlet -  48 08/11/10 120m (Saanich Inlet 48 08/11/10 120m, March 2012 Assem)",49
Marine microbial communities from expanding oxygen minimum zones in the Saanich Inlet -  MetaT SI075_200m_B (Metagenome Metatranscriptome),29
"Human fecal microbial communities J Craig Venter Institute, Maryland, USA - Subject 8 (re-annotation)",2
Estuarine microbial communities from the Columbia River estuary - metaG 1555C-3,595
Soil microbial communities from Colorado Plateau and Sonoran desert - Soil Crust after wet up 3A (Custom Analysis),1
"Wastewater treatment Type I Accumulibacter community from EBPR Bioreactor in Madison, WI, USA - Reactor 1_1/10/2011_ DNA",190
Estuarine microbial communities from the Columbia River estuary - metaG 1546B-3,691
"Tropical forest soil microbial communities from Luquillo Experimental Forest, Puerto Rico - Sample 49 (Luquillo Experimental Forest Soil Metagenome 49, ASSEMBLY_DATE=20121207)",8
"Groundwater microbial communities from Crystal Geyser aquifers in Utah, USA - Crystal Geyser metaG 2015-17",1264
"Hot spring sediment bacterial and archeal communities from British Columbia, Canada, to study Microbial Dark Matter (Phase II) - Dewar Creek DC8 2012 metaG",222
"Arctic peat soil from Barrow, Alaska - NGEE Surface sample F53-3 shallow (NGEE Surface sample F53-3 shallow, ASSEMBLY_DATE=20130516)",1856
"Human fecal microbial communities from the University of Tokyo - healthy human sample F1-U, Infant, Female (Healthy human gut microbiome - Hu-FU)",2
"Oil sands microbial communities from Horse River, Alberta, Canada - outcrops (H1C: 454 sequencing assembly)",188
Passalidae beetle gut microbial communities from Costa Rica - Gallery material (4MSU+4BSU+3MSU+3BSU) (Gallery material (4MSU+4BSU+3MSU+3BS) Dec 2011 assem),240
"Human supragingival plaque microbial communities from NIH, USA - visit 1, subject 763901136",14
"Agave microbial communities from California, USA -  As.Sf.rz",17383
"Deep subsurface shale carbon reservoir microbial communities from Ohio, USA - Wagner 4 Time Series HT_2014_7_11",381
"Trichonympha termite gut microbial communities from Mt. Pinos, Los Padres National Forest, California, USA (re-annotation)",4
"Freshwater microbial communities from Lake Mendota, WI - Practice 15JUN2010 epilimnion (Lake Mendota Practice 15JUN2010 epilimnion June 2011 assem)",2
"Human stool microbial communities from NIH, USA - visit 1, subject 765620695",32
"Peatland microbial communities from Minnesota, USA, analyzing carbon cycling and trace gas fluxes - June2015DPH_17_150",1398
"Peatland microbial communities from Minnesota, USA, analyzing carbon cycling and trace gas fluxes - June2015DPH_4_40",766
"Human supragingival plaque microbial communities from NIH, USA - visit 2, subject 158883629",7
"Marine microbial communities from expanding oxygen minimum zones in Line P, North Pacific Ocean -  June 2008 P12 1000m (Line P June 2008 P12 1000m, April 2012 Assem)",5
"Tropical forest soil microbial communities from Luquillo Experimental Forest, Puerto Rico - Sample 74 (Luquillo Experimental Forest Soil Metagenome 74, ASSEMBLY_DATE=20121207)",7
Oceanic oxygen minimum zone microbial communities that regulate carbon cycling - Sample ETNP201302SV91,853
"Grasslands soil microbial communities from the Angelo Coastal Reserve, California, USA - Sample 09_25_2013_1_40cm (Grasslands soil microbial communities from the Angelo Coastal Reserve, California, USA - Sample 09_25_2013_1_40cm, ASSEMBLY_DATE=20140423)",336
"Hot spring sediment microbial communities from Great Boiling Spring, Nevada - surface sediment",8
"Tropical forest soil microbial communities from Luquillo Experimental Forest, Puerto Rico - Sample 79 (Luquillo Experimental Forest Soil Metagenome 79, ASSEMBLY_DATE=20121207)",10
"Human fecal microbial communities from Valencia, Spain, of mother-infant pairs - MIP08-I3",7
"Human throat microbial communities from NIH, USA - visit 2, subject 763496533",13
"Human tongue dorsum microbial communities from NIH, USA - visit 1, subject 706846339",14
"Human supragingival plaque microbial communities from NIH, USA - visit 1, subject 686765762",8
"Corn, switchgrass and miscanthus rhizosphere microbial communities from Kellogg Biological Station, Michigan, USA - KBS K5-50-3 metaG",13790
"Cellulose-adapted microbial communities from the Joint BioEnergy Institute, USA - Passage D2F06",32
"Freshwater lentic microbial communities from great Laurentian Lakes, MI, USA - Great Lakes metaG MI27MSRF",462
"Soil microbial communities from Arlington Agricultural Research Station in Wisconsin, USA - Nitrogen cycling UWRJ-G01K5-12 (Nitrogen cycling UWRJG01K512, ASSEMBLY_DATE=20140815)",2439
"Marine microbial communities from expanding oxygen minimum zones in the Saanich Inlet -  ESP_125SG_5_DNA (Saanich Inlet ESP_125SG_5_DNA, ASSEMBLY_DATE=20141020)",1792
Laurentian Great Lakes metaT Sp13.BD.MLB.SN (Metagenome Metatranscriptome),137
"Human supragingival plaque microbial communities from NIH, USA - visit 2, subject 763577454",2
"Tropical forest soil microbial communities from Luquillo Experimental Forest, Puerto Rico - Sample 11 (Luquillo Experimental Forest Soil Metagenome 11, ASSEMBLY_DATE=20121203)",46
"Marine viral communities from the Deep Pacific Ocean - MSP-131 (Malaspina viral metagenome MSP-131, ASSEMBLY_DATE=20130703)",972
Freshwater sediment methanotrophic microbial communities from Lake Washington under simulated oxygen tension - Sediment Metatranscriptome 94_HOW11,45
Aqueous microbial communities from the Delaware River and Bay under freshwater to marine salinity gradient to study organic matter cycling in a time-series - Viral MetaG DEL_Aug_30,198
"Freshwater microbial communities from Trout Bog Lake, WI - 07JUL2009 epilimnion (Trout Bog Lake July 7 2009 Epilimnion, new10pct subsample IHPX Merged Reads)",21
"Human tongue dorsum microbial communities from NIH, USA - visit 1, subject 765013792",36
"Macroalgal surface ecosystem from Botany Bay, Sydney, Australia - BBAY78 (BBAY78)",374
"Saline sediment microbial community from Etoliko Lagoon, Greece (Etoliko lagoon sediment, Jan 2012 Assem)",6556
Arabidopsis rhizosphere microbial communities from New York and Illinois - Col MF FACS,87
"Hot spring sediment bacterial and archeal communities from British Columbia, Canada, to study Microbial Dark Matter (Phase II) - Dewar Creek DC4 2012 metaG",20
"Freshwater microbial communities from Trout Bog Lake, WI - 23JUN2009 hypolimnion (Trout Bog Lake June 23 2009 Hypolimnion, new10pct subsample IHUN Merged Reads)",315
"Human supragingival plaque microbial communities from NIH, USA - visit 1, subject 158742018",27
"Saline lake microbial communities from Rauer Lake, Antarctica, in enrichment culture - Antartic Rauer Lake 1 Metagenome VIRRA1",16
"Active sludge microbial communities from Klosterneuburg, Austria - Klosterneuburg WWTP active sludge MT KNB_A4L_L (Metagenome Metatranscriptome)",14
"Anoxygenic and chlorotrophic microbial mat microbial communities from Yellowstone National Park, USA - YNP MS_1500(2)_B MetaT (Metagenome Metatranscriptome)",108
"Grasslands soil microbial communities from the Angelo Coastal Reserve, California, USA - 15_R_Met_20_2_16_1 metaT (Metagenome Metatranscriptome)",10
"Hot spring microbial communities from Little Hot Creek, USA to study Microbial Dark Matter (Phase II) - LHC4sed_replicate",73
Marine Trichodesmium cyanobacterial communities from the Bermuda Atlantic Time-Series,90
"Soil microbial communities from Arlington Agricultural Research Station in Wisconsin, USA - Nitrogen cycling UWRJ-G09A3-11 (Nitrogen cycling UWRJG09A311, ASSEMBLY_DATE=20140516)",1505
"Mouse cecum microbial communities from Vienna, Austria - Inoculum for glucosamine and mucus D2O microcosms",387
Marine microbial communities from the Deep Indian Ocean - MP1090 (Metagenome Metatranscriptome),61
"Soil microbial communities from Arlington Agricultural Research Station in Wisconsin, USA - Nitrogen cycling UWRJ-G09A2-10 (Nitrogen cycling UWRJG09A210, ASSEMBLY_DATE=20140518)",1537
"Hot spring microbial communities from Beowulf Spring, Yellowstone National Park, Wyoming, USA - YNP_Beowulf Spring_D (YNP_Beowulf Spring_D)",6
"Soil microbial communities from Arlington Agricultural Research Station in Wisconsin, USA - Nitrogen cycling UWRJ-G10.2A4w-11 (Soil microbial communities from Arlington Agricultural Research Station in Wisconsin, USA - Nitrogen cycling UWRJ-G10.2A4w-11, ASSEMBLY_DATE=20140821)",2325
"Corn, switchgrass and miscanthus rhizosphere microbial communities from Kellogg Biological Station, Michigan, USA - KBS Corn C6-2",19541
"Marine microbial communities from expanding oxygen minimum zones in Line P, North Pacific Ocean - fosmids plate 5 (1020141, ASSEMBLY_DATE=20140512)",1
"Human supragingival plaque microbial communities from NIH, USA - visit 2, subject 763435843",13
"Freshwater microbial communities from Crystal Bog, Wisconsin, USA - CBH27Jul09",544
"Grasslands soil microbial communities from Kansas, USA, that are Nitrogen fertilized - NN584 (Forest Soil microbial communities with Nitrogen NN584, ASSEMBLY_DATE=20130326)",96
"Corn, switchgrass and miscanthus rhizosphere microbial communities from Kellogg Biological Station, Michigan, USA - LAR L11-3 metaG",9568
Deep ocean microbial communities from the Global Malaspina Expedition - Deep seawater metaT MP2156 (Metagenome Metatranscriptome),28
"Marine viral communities from the Pacific Ocean - LP-38 (Metagenome Std Draft M1632 Line P viral metagenome LP-38 , ASSEMBLY_DATE=20130720)",262
"Bioreactor Anammox bacterial community from Nijmegen, The Netherlands - Scalindua species enirchment",2
"Soil microbial communities from Arlington Agricultural Research Station in Wisconsin, USA - Nitrogen cycling UWRJ-G08A4-12 (Nitrogen cycling UWRJG08A412, ASSEMBLY_DATE=20140517)",1453
"Freshwater microbial communities from Crystal Bog, Wisconsin, USA -  CBE06Nov07",544
"Human fecal microbial communities from Valencia, Spain, of mother-infant pairs - MIP03-I4",4
Marine microbial communities from expanding oxygen minimum zones in the Saanich Inlet - SI048_120m_RNA,113
"Grasslands soil microbial communities from the Angelo Coastal Reserve, California, USA - 15_R_Wat_20_5_0_2 metaT (Metagenome Metatranscriptome)",1
"Arctic peat soil from Barrow, Alaska - NGEE Surface sample F52-2 deep-092012 (NGEE Surface sample F52-2 deep-092012, ASSEMBLY_DATE=20130514)",2448
"Marine microbial communities from Delaware Coast, sample from Delaware MO Spring March 2010 (Delaware MO Spring March 2010, Nov 2011 assem)",130
Tailings pond microbial communities from Northern Alberta -Short chain hydrocarbon degrading methanogenic enrichment culture  SCADC: (SCADC: 454 quality controlled and unassembled reads),289
"Soil microbial communities from Arlington Agricultural Research Station in Wisconsin, USA - Nitrogen cycling UWRJ-G10A2w-12 (Nitrogen cycling UWRJG10A2w12, ASSEMBLY_DATE=20140514)",1400
"Active sludge microbial communities from Klosterneuburg, Austria - Klosterneuburg WWTP active sludge C03_HNv2",2
"Grasslands soil microbial communities from the Angelo Coastal Reserve, California, USA - 15_R_Met_20_5_8_2 metaT (Metagenome Metatranscriptome)",17
"Corn, switchgrass and miscanthus rhizosphere microbial communities from Kellogg Biological Station, Michigan, USA - KBS S1-3H metaG",18664
"Soil microbial communities from Rifle, Colorado - Rifle Oxygen_injection B1 (Rifle Oxygeninjection B1, ASSEMBLY_DATE=20140519)",285
"Soil microbial communities from Great Prairies -  Kansas, Native Prairie soil (Kansas, Native Prairie soil, Sept. 2012 Assem JGI Velvet)",6578
"Forest soil microbial communities from El Dorado National Forest, California, USA - Mediterranean Blodgett CA Ref_M2 (Mediterranean Blodgett CA Ref_M2, June 2012 Assem)",2673
"Grasslands soil microbial communities from the Angelo Coastal Reserve, California, USA - Sample Angelo_155",2325
A Catalogue of the Mouse Gut Metagenome - Mouse fecal microbial communities from multiple locations,763
"Freshwater pond sediment microbial communities from the University of Edinburgh, under environmental carbon perturbations - Initial sediment",28980
"Forest soil microbial communities from Harvard Forest Long Term Ecological Research site in Petersham, Massachusetts, USA - MetaG HF013 (Microbial Forest Soil SWN H18_O, ASSEMBLY_DATE=20130725)",2181
"Hot spring thermophilic microbial communities from Obsidian Pool, Yellowstone National Park, USA -  site 2 B6 (Yellowstone National Park Obsidian Pool site 2 B6, ASSEMBLY_DATE=20131116)",23
"Freshwater sediment microbial communities in response to fracking from Pennsylvania, USA - Straight Creek_MetaG_SC_2013",12592
"Active sludge microbial communities from Klosterneuburg, Austria - Klosterneuburg WWTP active sludge D09_HANv2",2
"Macroalgal surface ecosystem from Botany Bay, Sydney, Australia - BBAY66 (BBAY66)",386
"Forest soil microbial communities from Davy Crockett National Forest, Groveton, Texas, USA - Texas A ecozone_OM3H0_M1 (Texas A ecozone_OM3H0_M1, ASSEMBLY_DATE=20130222)",6541
"Wetland microbial communities from Twitchell Island in the Sacramento Delta, sample from surface sediment Feb2011 Site B1 Bulk (Wetland Surface Sediment Feb2011 Site B1 Bulk, Oct 2011 assem)",65320
"Microbial communities from bioreactor (seeded with sewage sludge) at LBNL, California, USA - Biofuel metagenome 3 version 2 (Biofuel metagenome 3 July 2011 assem)",82
Coral microbial communities from various places in Mexico - Siderastrea C A metatranscriptome (Eukaryote Community Metatranscriptome),5
"Arabidopsis rhizosphere microbial communities from New York and Illinois - Cvi MF nosort (Arabidopsis Cvi MF nosort metaG, ASSEMBLY_DATE=20140925)",59
"Groundwater microbial communities from Rifle, Colorado - Rifle Oxygen_injection B2 (Rifle Oxygen_injection B2, ASSEMBLY_DATE=20131116)",898
Estuarine microbial communities from the Columbia River estuary - metaG 1554B-3,298
"Marine microbial communities from the Deep Atlantic Ocean - MP0555 (Deep seawater metagenome MP0555, ASSEMBLY_DATE=20130213)",318
Serpentinite rock and fluid subsurface biosphere microbial communities - QV1.2_Dec13 (Metagenome Metatranscriptome),45
"Soil microbial communities from California, USA to study soil gas exchange rates - BB-CA-RED metaT (Metagenome Metatranscriptome)",25
"Anoxygenic and chlorotrophic microbial mat microbial communities from Yellowstone National Park, USA - YNP MS_1500_B MetaT (Metagenome Metatranscriptome)",44
Agricultural soil microbial communities from Georgia to study Nitrogen management - GA Plitter,8816
"Wetland microbial communities from Old Woman Creek Reserve in Ohio, USA - Plant_11_14_A (Metagenome Metatranscriptome)",134
Marine microbial communities from western Arctic Ocean - ArcticOcean_MG_CB11_90,197
Marine microbial communities from expanding oxygen minimum zones in the Saanich Inlet -  MetaT SI075_100m_B (Metagenome Metatranscriptome),48
"Marine gutless worms symbiont microbial communities from Max Planck institute for Marine Microbiology, Germany -  Inanidrilus exumae BAHAMAS.1",43
Marine viral communities from the Global Malaspina Expedition - Malaspina viral metaG DeepMed_51,213
"Peat soil microbial communities from Weissenstadt, Germany - Metatranscriptome 14 (Metagenome Metatranscriptome)",31
"Grasslands soil microbial communities from the Angelo Coastal Reserve, California, USA - Sample 9_17_2013_100cm (Grasslands soil microbial communities from the Angelo Coastal Reserve, California, USA - Sample 9_17_2013_100cm, ASSEMBLY_DATE=20140607)",14265
"Freshwater sediment microbial communities from Prairie Pothole Lake near Jamestown, North Dakota, USA - PPLs Lake P7 Core (6) Depth 1-3cm September2015",5752
"Freshwater microbial communities from Crystal Bog, Wisconsin, USA -  CBH16Oct07",388
"Human tongue dorsum microbial communities from NIH, USA - visit 2, subject 763982056",8
"Corn, switchgrass and miscanthus rhizosphere microbial communities from Kellogg Biological Station, Michigan, USA - LAR L5-1 metaG",10029
"Human stool microbial communities from NIH, USA - visit 2, subject 158802708",26
"Soil microbial communities from Hawaii, USA to study soil gas exchange rates - KP-HI-INT metaT (Metagenome Metatranscriptome)",7
Estuarine microbial communities from the Columbia River estuary - metaG 1563A-02,257
"Serpentine soil microbial communities from UC McLaughlin Reserve, CA, USA - Plot26",2454
"Grasslands soil microbial communities from the Angelo Coastal Reserve, California, USA - 15_R_Met_20_5_24_1 metaT (Metagenome Metatranscriptome)",10
"Active sludge microbial communities from Klosterneuburg, Austria, studying microevolution and ecology of nitrifiers - Klosterneuburg WWTP active sludge metagenome KNB14_supernatant",2502
"Human fecal microbial communities from Washington University at St. Louis, Missouri, USA, of twins - TS29",1
"Mountain Pine Beetle microbial communities from McBride, British Columbia, Canada - Lodgepole pine (Lodgepole pine)",18
Freshwater sediment methanotrophic microbial communities from Lake Washington under simulated oxygen tension - Sediment Metatranscriptome 20_HOW5,43
"Human stool microbial communities from NIH, USA - visit 1, subject 675950834",17
"Saline microbial communities from Lake Vida, Antarctica (Lake Vida Brine Hole Two - Combined Assembly 2 samples, Mar 2013 Assem) (Lake Vida Brine Hole Two - Combined Assembly 2 samples, Mar 2013 Assem)",40
"Hot spring microbial communities from Yellowstone National Park, Wyoming, USA - OCT_B_1 metaT (Metagenome Metatranscriptome)",5
Estuarine microbial communities from the Columbia River estuary - Flood tide ETM metaG S.741,3331
Arabidopsis rhizosphere microbial communities from New York and Illinois - plate scrape CL_Cvi_mMS_r2,202
Freshwater sediment methanotrophic microbial communities from Lake Washington under simulated oxygen tension - Sediment Metagenome 21_HOW5,555
"Soil microbial communities from Rifle, Colorado - Rifle CSP2_sed 10_3 (Rifle CSP2_sed 10_3, ASSEMBLY_DATE=20131208)",6813
"Marine microbial communities from expanding oxygen minimum zones in Line P, North Pacific Ocean - August 2009 P26 500m (Line P August 2009 P26 500m, March 2012 Assem)",19
"Human stool microbial communities from NIH, USA - visit 2, subject 764325968",30
Freshwater sediment methanotrophic microbial communities from Lake Washington under simulated oxygen tension - Sediment Metatranscriptome 111_LOW13,94
"Marine microbial and viral communities from Louisana Shelf, Gulf of Mexico - GoM_2015_C6C_257_18m (Metagenome Metatranscriptome)",32
"Groundwater microbial communities from aquifer in Utah, USA - Crystal Geyser 4/9/14 0.2 um filter",643
"Soil microbial communities from Arlington Agricultural Research Station in Wisconsin, USA - Nitrogen cycling UWRJ-BECK03-C (Nitrogen cycling UWRJBECK03C, ASSEMBLY_DATE=20140808)",2668
"Macroalgal surface ecosystem from Botany Bay, Sydney, Australia - BBAY79 (BBAY79)",385
"Freshwater microbial communities from Trout Bog Lake, WI - 13JUN2007 hypolimnion (Trout Bog Lake June 13 2007 Hypolimnion, new10pct subsample IHUS Merged Reads)",99
"Freshwater lake microbial communities from Lake Huron, USA, analyzing microbial food webs and carbon cycling - Su13.BD.MM110.SN",1168
"Saline lake microbial communities from Deep Lake, Antarctica - Antarctic Deep Lake Metagenome 02WF4",262
"Marine gutless worms symbiont microbial communities from Max Planck institute for Marine Microbiology, Germany - Olavius sp. 5 HERON ISLAND",7
Aqueous microbial communities from the Delaware River and Bay under freshwater to marine salinity gradient to study organic matter cycling in a time-series - DEBay_Sum_0.19_N_<0.8_DNA,2947
"Human posterior fornix microbial communities from NIH, USA - visit 1, subject 246515023",4
Marine viral communities from the Southern Atlantic ocean transect to study dissolved organic matter and carbon cycling - metaG 3635_2500,245
Arabidopsis rhizosphere microbial communities from New York and Illinois - plate scrape MF_Col_mCL_r2,332
"Macroalgal surface ecosystem from Botany Bay, Sydney, Australia - A-R4 (A-R4)",181
Aqueous microbial communities from the Delaware River and Bay under freshwater to marine salinity gradient to study organic matter cycling in a time-series - DEBay_Sum_29_D_>0.8_DNA,906
